hostname,st_spectype,st_teff,st_mass,st_rad,st_age,pl_name,pl_rade,pl_bmasse,pl_orbper
GJ 486,M3.5 V,3317.0,0.312,0.3243,4.0,GJ 486 b,1.289,2.77,1.46712127
LTT 3780,M3.5 V,3358.0,0.381,0.38,3.1,LTT 3780 b,1.325,2.46,0.76837931
K2-141,K7 V,4570.0,0.708,0.681,6.3,K2-141 b,1.51,4.97,0.2803244
LHS 1140,M4.5 V,3096.0,0.1844,0.2159,5.0,LHS 1140 c,1.272,1.91,3.77794
TOI-178,K,4316.0,0.65,0.651,7.1,TOI-178 b,1.152,1.5,1.914558
TOI-1075,K9 V/M0 V,3875.0,0.604,0.581,6.0,TOI-1075 b,1.791,9.95,0.6047328
GJ 3929,M3.5 V,3384.0,0.313,0.32,7.1,GJ 3929 b,1.09,1.75,2.616235
LHS 1140,M4.5 V,3096.0,0.1844,0.2159,5.0,LHS 1140 b,1.73,5.6,24.73723
L 98-59,M3 V,3415.0,0.273,0.303,0.8,L 98-59 b,0.85,0.4,2.2531136
L 98-59,M3 V,3415.0,0.273,0.303,0.8,L 98-59 d,1.521,1.94,7.4507245
L 98-59,M3 V,3415.0,0.273,0.303,0.8,L 98-59 c,1.385,2.22,3.6906777
Kepler-102,,4909.0,0.803,0.724,1.1,Kepler-102 d,1.154,3.0,10.311767
TOI-178,K,4316.0,0.65,0.651,7.1,TOI-178 c,1.669,4.77,3.23845
TOI-1807,,4914.0,0.8048,0.746,2.1,TOI-1807 b,1.49681583,2.44,0.54937097
K2-36,K2 V,4916.0,0.79,0.718,1.4,K2-36 b,1.43,4.3,1.422614
TOI-260,K8 V,4026.0,0.5485,0.5468,15.9,TOI-260 b,1.71,4.23,13.475853
TOI-1416,,4884.0,0.798,0.793,6.9,TOI-1416 b,1.62,3.48,1.0697568
TOI-836,K V,4552.0,0.678,0.665,5.4,TOI-836 b,1.704,4.53,3.81673
GJ 1132,M4.5 V,3229.0,0.1945,0.2211,5.0,GJ 1132 b,1.19151465,1.83704819,1.62892911
GJ 9827,K7 V,4236.0,0.606,0.602,5.465,GJ 9827 b,1.44,4.28,1.208974
TOI-776,M1 V,3725.0,0.542,0.547,6.1,TOI-776 b,1.798,5.0,8.24662
HD 260655,M0 V,3803.0,0.439,0.439,5.0,HD 260655 b,1.24,2.14,2.76953
TOI-1235,M0.5 V,3997.0,0.63,0.619,5.3,TOI-1235 b,1.69,6.69,3.444714
K2-3,M V,3951.0,0.53,0.550856,6.9,K2-3 c,1.582,2.68,24.646729
GJ 806,M1.5 V,3600.0,0.413,0.4144,5.0,GJ 806 b,1.331,1.9,0.9263237
HD 219134,K3 V,4699.0,0.81,0.778,11.0,HD 219134 b,1.602,4.74,3.092926
K2-3,M V,3951.0,0.53,0.550856,6.9,K2-3 d,1.458,2.2,44.55603
Kepler-62,K2 V,4925.0,0.69,0.64,7.0,Kepler-62 b,1.31,9.0,5.714932
Kepler-446,M4,3359.0,0.22,0.24,3.72,Kepler-446 b,1.5,2.86,1.565409
Kepler-99,,4782.0,0.79,0.73,1.47,Kepler-99 b,1.48,6.15,4.60358
TOI-1411,,4115.0,0.6045,0.614,9.6,TOI-1411 b,1.19880592,2.0,1.4520527
HD 219134,K3 V,4699.0,0.81,0.778,11.0,HD 219134 c,1.511,4.36,6.76458
TOI-1685,M2.65 V,3575.0,0.454,0.4555,1.0,TOI-1685 b,1.468,3.03,0.66913924
Kepler-62,K2 V,4925.0,0.69,0.64,7.0,Kepler-62 c,0.54,4.0,12.4417
Kepler-445,M4,3157.0,0.18,0.21,6.61,Kepler-445 d,1.25,2.1,8.15275
Kepler-446,M4,3359.0,0.22,0.24,3.72,Kepler-446 c,1.11,1.41,3.036179
TOI-500,K6 V,4440.0,0.74,0.678,5.0,TOI-500 b,1.166,1.42,0.548177
Kepler-446,M4,3359.0,0.22,0.24,3.72,Kepler-446 d,1.35,2.39,5.148921
HD 260655,M0 V,3803.0,0.439,0.439,5.0,HD 260655 c,1.533,3.09,5.70588
Kepler-62,K2 V,4925.0,0.69,0.64,7.0,Kepler-62 e,1.61,36.0,122.3874
Kepler-62,K2 V,4925.0,0.69,0.64,7.0,Kepler-62 f,1.41,35.0,267.291
TOI-244,M2.5 V,3433.0,0.428,0.426,7.0,TOI-244 b,1.52,2.68,7.397225
GJ 1252,M3,3458.0,0.381,0.391,3.9,GJ 1252 b,1.193,1.32,0.5182331
GJ 9827,K7 V,4236.0,0.606,0.602,5.465,GJ 9827 c,1.13,1.86,3.648103
Wolf 327,M2.5 V,3542.0,0.405,0.406,4.1,Wolf 327 b,1.24,2.53,0.5734745
Kepler-445,M4,3157.0,0.18,0.21,6.61,Kepler-445 b,1.58,3.12,2.984151
